date,PHU,ageGrp,population,doses
2021-07-28,PETERBOROUGH COUNTY-CITY,40-49yrs,14923,101
2021-07-28,PORCUPINE,40-49yrs,9835,42
2021-07-28,RENFREW COUNTY AND DISTRICT,40-49yrs,11851,100
2021-07-28,SIMCOE MUSKOKA DISTRICT,40-49yrs,72346,640
2021-07-28,SOUTHWESTERN,40-49yrs,25213,330
2021-07-28,SUDBURY AND DISTRICT,40-49yrs,23893,258
2021-07-28,THUNDER BAY DISTRICT,40-49yrs,17224,117
2021-07-28,TIMISKAMING,40-49yrs,3499,46
2021-07-28,TORONTO,40-49yrs,423307,1822
2021-07-28,WATERLOO REGION,40-49yrs,76587,613
2021-07-28,WELLINGTON-DUFFERIN-GUELPH,40-49yrs,38968,393
2021-07-28,WINDSOR-ESSEX COUNTY,40-49yrs,50811,354
2021-07-28,YORK REGION,40-49yrs,162480,804
2021-07-28,ALGOMA DISTRICT,50-59yrs,16446,210
2021-07-28,BRANT COUNTY,50-59yrs,21321,159
2021-07-28,CHATHAM-KENT,50-59yrs,15450,52
2021-07-28,CITY OF HAMILTON,50-59yrs,80704,492
2021-07-28,CITY OF OTTAWA,50-59yrs,139786,613
2021-07-28,DURHAM REGION,50-59yrs,104381,748
2021-07-28,EASTERN ONTARIO,50-59yrs,32885,482
2021-07-28,GREY BRUCE,50-59yrs,24279,126
2021-07-28,HALDIMAND-NORFOLK,50-59yrs,17361,116
2021-07-28,HALIBURTON KAWARTHA PINE RIDGE,50-59yrs,30845,232
2021-07-28,HALTON REGION,50-59yrs,85689,1041
2021-07-28,HASTINGS & PRINCE EDWARD COUNTIES,50-59yrs,26066,261
2021-07-28,HURON PERTH,50-59yrs,19413,315
2021-07-28,KINGSTON FRONTENAC LENNOX & ADDINGTON,50-59yrs,29814,261
2021-07-28,LAMBTON COUNTY,50-59yrs,18136,283
2021-07-28,LEEDS GRENVILLE AND LANARK DISTRICT,50-59yrs,28235,214
2021-07-28,MIDDLESEX-LONDON,50-59yrs,66854,468
2021-07-28,NIAGARA REGION,50-59yrs,70296,347
